plane,angle,orientation,neck_C,head_A
X-Z,0.0,RIGHT-DOWN,0.0,0.0
X-Z,0.0,LEFT-DOWN,0.0,0.0
X-Z,0.0,LEFT-UP,180.0,0.0
X-Z,0.0,RIGHT-UP,180.0,0.0
X-Z,0.5,RIGHT-DOWN,359.75,0.7071
X-Z,0.5,LEFT-DOWN,0.25,359.2929
X-Z,0.5,LEFT-UP,179.75,0.7071
X-Z,0.5,RIGHT-UP,180.25,359.2929
X-Z,1.0,RIGHT-DOWN,359.5,1.4142
X-Z,1.0,LEFT-DOWN,0.5,358.5858
X-Z,1.0,LEFT-UP,179.5,1.4142
X-Z,1.0,RIGHT-UP,180.5,358.5858
X-Z,1.5,RIGHT-DOWN,359.2499,2.1214
X-Z,1.5,LEFT-DOWN,0.7501,357.8786
X-Z,1.5,LEFT-UP,179.2499,2.1214
X-Z,1.5,RIGHT-UP,180.7501,357.8786
X-Z,2.0,RIGHT-DOWN,358.9998,2.8286
X-Z,2.0,LEFT-DOWN,1.0002,357.1714
X-Z,2.0,LEFT-UP,178.9998,2.8286
X-Z,2.0,RIGHT-UP,181.0002,357.1714
X-Z,2.5,RIGHT-DOWN,358.7497,3.5358
X-Z,2.5,LEFT-DOWN,1.2503,356.4642
X-Z,2.5,LEFT-UP,178.7497,3.5358
X-Z,2.5,RIGHT-UP,181.2503,356.4642
X-Z,3.0,RIGHT-DOWN,358.4995,4.2431
X-Z,3.0,LEFT-DOWN,1.5005,355.7569
X-Z,3.0,LEFT-UP,178.4995,4.2431
X-Z,3.0,RIGHT-UP,181.5005,355.7569
X-Z,3.5,RIGHT-DOWN,358.2492,4.9505
X-Z,3.5,LEFT-DOWN,1.7508,355.0495
X-Z,3.5,LEFT-UP,178.2492,4.9505
X-Z,3.5,RIGHT-UP,181.7508,355.0495
X-Z,4.0,RIGHT-DOWN,357.9988,5.658
X-Z,4.0,LEFT-DOWN,2.0012,354.342
X-Z,4.0,LEFT-UP,177.9988,5.658
X-Z,4.0,RIGHT-UP,182.0012,354.342
X-Z,4.5,RIGHT-DOWN,357.7483,6.3656
X-Z,4.5,LEFT-DOWN,2.2517,353.6344
X-Z,4.5,LEFT-UP,177.7483,6.3656
X-Z,4.5,RIGHT-UP,182.2517,353.6344
X-Z,5.0,RIGHT-DOWN,357.4976,7.0733
X-Z,5.0,LEFT-DOWN,2.5024,352.9267
X-Z,5.0,LEFT-UP,177.4976,7.0733
X-Z,5.0,RIGHT-UP,182.5024,352.9267
X-Z,5.5,RIGHT-DOWN,357.2468,7.7812
X-Z,5.5,LEFT-DOWN,2.7532,352.2188
X-Z,5.5,LEFT-UP,177.2468,7.7812
X-Z,5.5,RIGHT-UP,182.7532,352.2188
X-Z,6.0,RIGHT-DOWN,356.9959,8.4892
X-Z,6.0,LEFT-DOWN,3.0041,351.5108
X-Z,6.0,LEFT-UP,176.9959,8.4892
X-Z,6.0,RIGHT-UP,183.0041,351.5108
X-Z,6.5,RIGHT-DOWN,356.7448,9.1973
X-Z,6.5,LEFT-DOWN,3.2552,350.8027
X-Z,6.5,LEFT-UP,176.7448,9.1973
X-Z,6.5,RIGHT-UP,183.2552,350.8027
X-Z,7.0,RIGHT-DOWN,356.4935,9.9057
X-Z,7.0,LEFT-DOWN,3.5065,350.0943
X-Z,7.0,LEFT-UP,176.4935,9.9057
X-Z,7.0,RIGHT-UP,183.5065,350.0943
X-Z,7.5,RIGHT-DOWN,356.2419,10.6142
X-Z,7.5,LEFT-DOWN,3.7581,349.3858
X-Z,7.5,LEFT-UP,176.2419,10.6142
X-Z,7.5,RIGHT-UP,183.7581,349.3858
X-Z,8.0,RIGHT-DOWN,355.9902,11.3229
X-Z,8.0,LEFT-DOWN,4.0098,348.6771
X-Z,8.0,LEFT-UP,175.9902,11.3229
X-Z,8.0,RIGHT-UP,184.0098,348.6771
X-Z,8.5,RIGHT-DOWN,355.7383,12.0319
X-Z,8.5,LEFT-DOWN,4.2617,347.9681
X-Z,8.5,LEFT-UP,175.7383,12.0319
X-Z,8.5,RIGHT-UP,184.2617,347.9681
X-Z,9.0,RIGHT-DOWN,355.4861,12.7411
X-Z,9.0,LEFT-DOWN,4.5139,347.2589
X-Z,9.0,LEFT-UP,175.4861,12.7411
X-Z,9.0,RIGHT-UP,184.5139,347.2589
X-Z,9.5,RIGHT-DOWN,355.2336,13.4505
X-Z,9.5,LEFT-DOWN,4.7664,346.5495
X-Z,9.5,LEFT-UP,175.2336,13.4505
X-Z,9.5,RIGHT-UP,184.7664,346.5495
X-Z,10.0,RIGHT-DOWN,354.9809,14.1602
X-Z,10.0,LEFT-DOWN,5.0191,345.8398
X-Z,10.0,LEFT-UP,174.9809,14.1602
X-Z,10.0,RIGHT-UP,185.0191,345.8398
X-Z,10.5,RIGHT-DOWN,354.7278,14.8702
X-Z,10.5,LEFT-DOWN,5.2722,345.1298
X-Z,10.5,LEFT-UP,174.7278,14.8702
X-Z,10.5,RIGHT-UP,185.2722,345.1298
X-Z,11.0,RIGHT-DOWN,354.4745,15.5804
X-Z,11.0,LEFT-DOWN,5.5255,344.4196
X-Z,11.0,LEFT-UP,174.4745,15.5804
X-Z,11.0,RIGHT-UP,185.5255,344.4196
X-Z,11.5,RIGHT-DOWN,354.2208,16.291
X-Z,11.5,LEFT-DOWN,5.7792,343.709
X-Z,11.5,LEFT-UP,174.2208,16.291
X-Z,11.5,RIGHT-UP,185.7792,343.709
X-Z,12.0,RIGHT-DOWN,353.9668,17.0019
X-Z,12.0,LEFT-DOWN,6.0332,342.9981
X-Z,12.0,LEFT-UP,173.9668,17.0019
X-Z,12.0,RIGHT-UP,186.0332,342.9981
X-Z,12.5,RIGHT-DOWN,353.7125,17.7131
X-Z,12.5,LEFT-DOWN,6.2875,342.2869
X-Z,12.5,LEFT-UP,173.7125,17.7131
X-Z,12.5,RIGHT-UP,186.2875,342.2869
